Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-19 10:49:22,1,JHL  ,0,0,0,0,0.7694444,0.35917795
2026-02-19 11:18:26,21,04 Charlie Wagner,0,0,0,0,0.6180555,0.3928071
