Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-18 23:33:08,1,Aiden jacobs,0,0,0,0,0.65,0.3932742
2026-02-18 23:44:03,9,Aiden jacobs,1,0,0,0,0.78194445,0.85660905
2026-02-18 23:47:43,11,Levi,0,0,0,0,0.6777778,0.37038767
2026-02-19 00:02:38,21,Vincent,0,0,0,0,0.2930556,0.3437646
