Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2026-02-19 09:58:06,2,Levi,0,0,0,0,0.8055556,0.59224665
2026-02-19 09:58:55,2,Levi,0,0,0,0,0.1125,0.7020084
2026-02-19 10:07:19,6,Levi,1,0,0,0,0.23611113,0.86361516
2026-02-19 10:19:04,12,Aiden jacobs,1,0,0,0,0.41388893,0.8874358
2026-02-19 10:23:13,14,Henry,0,0,0,0,0.40972227,0.54927605
2026-02-19 10:35:03,17,01 Orlando Impas,0,0,0,0,0.42777774,0.28865016
